url,group,indexed_2026_07_14,submitted?
https://deftbrain.com,homepage,yes,7/14/26
https://deftbrain.com/ApologyCalibrator,focus-tool,,7/14/26
https://deftbrain.com/BillRescue,focus-tool,yes,7/14/26
https://deftbrain.com/BragSheetBuilder,focus-tool,,7/14/26
https://deftbrain.com/ComplaintEscalationWriter,focus-tool,,7/14/26
https://deftbrain.com/DifficultTalkCoach,focus-tool,,7/14/26
https://deftbrain.com/DoctorVisitPrep,focus-tool,,7/14/26
https://deftbrain.com/DoctorVisitTranslator,focus-tool,,7/14/26
https://deftbrain.com/FakeReviewDetective,focus-tool,,7/14/26
https://deftbrain.com/GhostWriter,focus-tool,,7/14/26
https://deftbrain.com/LayoverMaximizer,focus-tool,,
https://deftbrain.com/LeaseTrapDetector,focus-tool,,
https://deftbrain.com/PlainTalk,focus-tool,,
https://deftbrain.com/ProcedureProbe,focus-tool,,
https://deftbrain.com/RentersDepositSaver,focus-tool,,
https://deftbrain.com/RulebookBreaker,focus-tool,,
https://deftbrain.com/TheAlibi,focus-tool,,
https://deftbrain.com/TipOfTongue,focus-tool,,
https://deftbrain.com/VirtualBodyDouble,focus-tool,,
https://deftbrain.com/AlternatePath,keeper-tool,yes,
https://deftbrain.com/ArgueBetter,keeper-tool,,
https://deftbrain.com/AwkwardSilenceFiller,keeper-tool,yes,
https://deftbrain.com/ChaosPilot,keeper-tool,yes,
https://deftbrain.com/ContextCollapse,keeper-tool,yes,
https://deftbrain.com/DecoderRing,keeper-tool,yes,
https://deftbrain.com/FinalWish,keeper-tool,yes,
https://deftbrain.com/HistoryToday,keeper-tool,yes,
https://deftbrain.com/MarkupDetective,keeper-tool,yes,
https://deftbrain.com/MentalHealthNavigator,keeper-tool,yes,
https://deftbrain.com/MiseEnPlace,keeper-tool,yes,
https://deftbrain.com/NameStorm,keeper-tool,yes,
https://deftbrain.com/RoastMe,keeper-tool,,
https://deftbrain.com/SixDegreesOfMe,keeper-tool,,
https://deftbrain.com/TheDebrief,keeper-tool,yes,
https://deftbrain.com/TheGap,keeper-tool,,
https://deftbrain.com/WaitingModeLiberator,keeper-tool,yes,
https://deftbrain.com/WhichLife,keeper-tool,,
https://deftbrain.com/WrongAnswersOnly,keeper-tool,yes,
https://deftbrain.com/about,static-page,,
https://deftbrain.com/privacy,static-page,yes,
https://deftbrain.com/terms,static-page,,
https://deftbrain.com/guides/apologies,guide-hub,,
https://deftbrain.com/guides/career,guide-hub,,
https://deftbrain.com/guides/conversations,guide-hub,,
https://deftbrain.com/guides/cooking,guide-hub,,
https://deftbrain.com/guides/decisions,guide-hub,,
https://deftbrain.com/guides/health,guide-hub,yes,
https://deftbrain.com/guides/home,guide-hub,,
https://deftbrain.com/guides/learning,guide-hub,,
https://deftbrain.com/guides/meetings,guide-hub,,
https://deftbrain.com/guides/money,guide-hub,,
https://deftbrain.com/guides/pets,guide-hub,,
https://deftbrain.com/guides/planning,guide-hub,,
https://deftbrain.com/guides/practical,guide-hub,,
https://deftbrain.com/guides/presentations,guide-hub,,
https://deftbrain.com/guides/speeches,guide-hub,,
https://deftbrain.com/guides/travel,guide-hub,,
https://deftbrain.com/guides/wellness,guide-hub,,
https://deftbrain.com/guides/workplace,guide-hub,,
https://deftbrain.com/guides/apologies/how-to-apologize-for-ghosting-someone,guide-article,yes,
https://deftbrain.com/guides/apologies/the-difference-between-an-apology-and-an-explanation,guide-article,,
https://deftbrain.com/guides/career/how-long-does-it-take-to-learn-data-analysis-for-a-career-change,guide-article,,
https://deftbrain.com/guides/career/how-to-transition-from-engineering-to-product-management,guide-article,yes,
https://deftbrain.com/guides/career/how-to-write-self-review-bullets-that-get-you-the-raise,guide-article,yes,
https://deftbrain.com/guides/career/is-accounting-going-to-be-replaced-by-ai,guide-article,yes,
https://deftbrain.com/guides/conversations/first-message-on-a-dating-app-that-actually-gets-a-reply,guide-article,,
https://deftbrain.com/guides/conversations/how-to-apologize-for-ghosting-someone,guide-article,,
https://deftbrain.com/guides/conversations/how-to-ask-for-an-upgrade,guide-article,,
https://deftbrain.com/guides/conversations/how-to-come-up-with-a-good-analogy-for-a-complex-idea,guide-article,yes,
https://deftbrain.com/guides/conversations/how-to-explain-something-complicated-without-making-someone-feel-stupid,guide-article,,
https://deftbrain.com/guides/conversations/how-to-know-if-a-friendship-is-over-or-just-dormant,guide-article,,
https://deftbrain.com/guides/conversations/how-to-know-if-your-message-will-be-misinterpreted-before,guide-article,,
https://deftbrain.com/guides/conversations/how-to-reach-out-to-a-friend-youve-lost-touch-with,guide-article,,
https://deftbrain.com/guides/conversations/how-to-rebuild-a-friendship-thats-gone-quiet-without-being-awkward,guide-article,yes,
